"id","code","name","account_type","reconcile","note","name@sv_SE","tax_ids"
"a117","117","Pågående ny-, till- och ombyggnad","liability_non_current",False,"Detta konto används för redovisning av utgifter som avser pågående arbeten vid uppförande av en ny byggnad eller teknisk anläggning. När arbetena färdigställts och tillgången kan tas i bruk ska utgifterna överföras till respektive tillgångskonto (konto 112–116). Detta konto används också för redovisning av utgifterna för pågående till- eller ombyggnad i egen regi av en äldre byggnad eller teknisk anläggning som ska räknas in i tillgångens/komponentens anskaffningsvärde. När sådana arbeten kan tas i bruk överförs utgifterna till respektive tillgångskonto (konto 112–116). I praktiken kan gränsdragningsproblem uppstå mellan åtgärder som ska räknas in i tillgångens/komponentens anskaffningsvärde och de som utgör driftkostnader. På kontot redovisas även exploateringsprojekt som ej ska avyttras dvs. redovisas som anläggningstillgång. Exploateringsprojekt som ska avyttras redovisas som omsättningstillgång, konto 147. Se idéskrift, Redovisning av kommunal markexploatering, från RKR. Arbeten so","Pågående ny-, till- och ombyggnad",""
"a121","121","Maskiner","liability_non_current",False,"Detta konto visar anskaffningsvärdet för arbetsmaskiner och större specialverktyg, exempelvis väghyvlar, grävmaskiner, svetsaggregat, maskiner för kök och tvätt med mera. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Maskiner",""
"a1218","1218","Ackumulerade nedskrivningar, maskiner","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar, maskiner",""
"a1219","1219","Ackumulerade avskrivningar, maskiner","liability_non_current",False,"Motkonto • 793 Avskrivning på maskiner och inventarier","Ackumulerade avskrivningar, maskiner",""
"a122","122","Inventarier","liability_non_current",False,"På detta konto redovisas anskaffningsvärdet för inventarier. Med inventarier avses icke fast utrustning annan än maskiner, exempelvis möbler och övrig lokalutrustning. Vid behov kan underkontoindelning göras för markinventarier som t.ex. ledningar i ett stadsnät. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Inventarier",""
"a1228","1228","Ackumulerade nedskrivningar på inventarier","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar på inventarier",""
"a1229","1229","Ackumulerade avskrivningar, inventarier","liability_non_current",False,"Motkonto • 793 Avskrivning på maskiner och inventarier","Ackumulerade avskrivningar, inventarier",""
"a123","123","Byggnadsinventarier","liability_non_current",False,"På detta konto förs de delar och tillbehör i en byggnad som är avsedda att direkt tjäna byggnadens användning för rörelseändamål. Ledningar som är en del av byggnadens allmänna funktion redovisas på fastigheten i kontogrupp 11 som komponent i fastigheten. Andra ledningar än sådana som behövs för byggnadens allmänna funktion redovisas på detta konto. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Byggnadsinventarier",""
"a1238","1238","Ackumulerade nedskrivningar på byggnadsinventarier","liability_non_current",False,"konto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar på byggnadsinventarier",""
"a1239","1239","Ackumulerade avskrivningar, byggnadsinventarier","liability_non_current",False,"Motkonto • 793 Avskrivning på maskiner och inventarier","Ackumulerade avskrivningar, byggnadsinventarier",""
"a124","124","Bilar och andra transportmedel","liability_non_current",False,"På detta konto redovisas anskaffningsvärdet för motordrivna fordon exempelvis personbilar, lastbilar, sopmaskiner. I anskaffningsvärdet för personbilar ingår även mervärdesskatt. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Bilar och andra transportmedel",""
"a1248","1248","Ackumulerade nedskrivningar på bilar och andra transportmedel","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar på bilar och andra transportmedel",""
"a1249","1249","Ackumulerade avskrivningar, bilar och andra transportmedel","liability_non_current",False,"Motkonto • 793 Avskrivning på maskiner och inventarier","Ackumulerade avskrivningar, bilar och andra transportmedel",""
"a125","125","Pågående arbeten maskiner och inventarier","liability_non_current",False,"Detta konto används för redovisning av utgifter som avser pågående arbeten avseende maskiner och inventarier. När tillgången kan tas i bruk ska utgifterna överföras till respektive konto för maskiner och inventarier (konto 121–124).","Pågående arbeten maskiner och inventarier",""
"a126","126","Förbättringsutgifter på fastigheter ej ägda av kommunen","liability_non_current",False,"Detta konto används för redovisning av utgifter för ny-, till- eller ombyggnad på fastigheter ej ägda av kommunen, då fastighetsägaren, och inte nyttjanderättshavaren, omedelbart blir ägare till det som utförts/anskaffats. Är fastigheten avsedd att nyttjas under kortare tid än tre år ska förbättringsutgifterna kostnadsföras direkt om en sådan kostnadsföring inte i väsentlig grad påverkar bedömningen av verksamhetens resultat och ställning. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Förbättringsutgifter på fastigheter ej ägda av kommunen",""
"a1268","1268","Ackumulerade nedskrivningar förbättringsutgifter","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar förbättringsutgifter",""
"a1269","1269","Ackumulerade avskrivningar, förbättringsutgifter","liability_non_current",False,"Motkonto • 793 Avskrivning på maskiner och inventarier","Ackumulerade avskrivningar, förbättringsutgifter",""
