id,name,description,invoice_label,amount,type_tax_use,tax_group_id/id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent
,,,,,,,tax,invoice,,2645 Beräknad ingående moms på förvärv från utlandet,100
,,,,,,,tax,invoice,,"2634 Utgående moms omvänd skattskyldighet, 6 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
,,,,,,,tax,refund,,,100
rtfeu,RTFEU,"(Utgående moms) Inköp av tjänster från annat EU-land enligt huvudregeln, 25%",,25,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2614 Utgående moms omvänd skattskyldighet, 25 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
rtfeu12,RTFEU12,"(Utgående moms) Inköp av tjänster från annat EU-land enligt huvudregeln, 12%",,12,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2624 Utgående moms omvänd skattskyldighet, 12 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
rtfeu6,RTFEU6,"(Utgående moms) Inköp av tjänster från annat EU-land enligt huvudregeln, 6%",,6,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2634 Utgående moms omvänd skattskyldighet, 6 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
tffu,TFFU,Inköp av tjänster från ett land utanför EU,,25,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2614 Utgående moms omvänd skattskyldighet, 25 %",100
,,,,,,,tax,invoice,,2645 Beräknad ingående moms på förvärv från utlandet,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
,,,,,,,tax,refund,,,100
ivis,IVIS,Inköp av varor i Sverige,,0,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
itts,ITIS,Övriga inköp av tjänster,,0,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
u1mi,U1MI,"Utgående moms omvänd skattskyldighet, 25%",,25,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2614 Utgående moms omvänd skattskyldighet, 25 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
u2mi,U2MI,"Utgående moms omvänd skattskyldighet, 12%",,12,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2624 Utgående moms omvänd skattskyldighet, 12 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
u3mi,U3MI,"Utgående moms omvänd skattskyldighet, 6%",,6,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2634 Utgående moms omvänd skattskyldighet, 6 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
mbbui1,MBBUI1,"Beskattningsunderlag vid import, 25%",,25,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2645 Beräknad ingående moms på förvärv från utlandet,100
,,,,,,,tax,invoice,,"2615 Utgående moms import av varor, 25 %",100
,,,,,,,base,refund,,,100
