id,code,name,account_type,reconcile,name@sv_SE
a1670,1670,"Kortfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",asset_receivable,True,"Kortfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
a1671,1671,Kortfristiga fordringar hos intresseföretag,liability_current,True,Kortfristiga fordringar hos intresseföretag
a1672,1672,Kortfristiga fordringar hos gemensamt styrda företag,liability_current,True,Kortfristiga fordringar hos gemensamt styrda företag
a1673,1673,Kortfristiga fordringar hos övriga företag som det finns ett ägarintresse i,liability_current,True,Kortfristiga fordringar hos övriga företag som det finns ett ägarintresse i
a1680,1680,Andra kortfristiga fordringar,liability_payable,True,Andra kortfristiga fordringar
a1681,1681,Utlägg för kunder,liability_payable,True,Utlägg för kunder
a1682,1682,Kortfristiga lånefordringar,liability_payable,True,Kortfristiga lånefordringar
a1683,1683,Derivat,liability_payable,True,Derivat
a1684,1684,Kortfristiga fordringar hos leverantörer,liability_payable,True,Kortfristiga fordringar hos leverantörer
a1685,1685,Kortfristiga fordringar hos delägare eller närstående,liability_payable,True,Kortfristiga fordringar hos delägare eller närstående
a1687,1687,Kortfristig del av långfristiga fordringar,liability_payable,True,Kortfristig del av långfristiga fordringar
a1688,1688,Fordran arbetsmarknadsförsäkringar,liability_payable,True,Fordran arbetsmarknadsförsäkringar
a1689,1689,Övriga kortfristiga fordringar,liability_payable,True,Övriga kortfristiga fordringar
a1690,1690,Fordringar för tecknat men ej inbetalt aktiekapital,liability_current,True,Fordringar för tecknat men ej inbetalt aktiekapital
a1710,1710,Förutbetalda hyreskostnader,asset_prepayments,False,Förutbetalda hyreskostnader
a1720,1720,Förutbetalda leasingavgifter,asset_prepayments,False,Förutbetalda leasingavgifter
a1730,1730,Förutbetalda försäkringspremier,asset_prepayments,False,Förutbetalda försäkringspremier
a1740,1740,Förutbetalda räntekostnader,asset_prepayments,False,Förutbetalda räntekostnader
a1750,1750,Upplupna hyresintäkter,asset_prepayments,False,Upplupna hyresintäkter
a1760,1760,Upplupna ränteintäkter,asset_prepayments,False,Upplupna ränteintäkter
a1770,1770,Tillgångar av kostnadsnatur,asset_prepayments,False,Tillgångar av kostnadsnatur
a1780,1780,Upplupna avtalsintäkter,asset_prepayments,False,Upplupna avtalsintäkter
a1790,1790,Övriga förutbetalda kostnader och upplupna intäkter,asset_prepayments,False,Övriga förutbetalda kostnader och upplupna intäkter
a1810,1810,Andelar i börsnoterade företag,asset_current,False,Andelar i börsnoterade företag
a1820,1820,Obligationer,asset_current,False,Obligationer
a1830,1830,Konvertibla skuldebrev,asset_current,False,Konvertibla skuldebrev
