"id","name","account_root_id:id","tax_code_root_id:id","bank_account_view_id:id","property_account_receivable:id","property_account_payable:id","property_account_expense_categ:id","property_account_income_categ:id"
"a","BAS 2015 Minimal (Minimal K1/K2)","K1","a0","k1_1930","k1_1500","k1_2440","k1_4000","k1_3000"
"b","BAS 2015 Normal  (K2-K4)","K2","b0","k2_1930","k2_1510","k2_2440","k2_4000","k2_3000"
