id,code,name,parent_id:id,type,user_type:id,reconcile,"tax_ids:id","chart_template_id:id"
l10n_se.K1,a0,Företaget,,view,account.data_account_type_view,,,l10n_se.a
l10n_se.K2,b0,Företaget K2,,view,account.data_account_type_view,,,l10n_se.b
