id,name,code,country_id/id
state_se_1465,Svenljunga,1465,base.se
state_se_1466,Herrljunga,1466,base.se
state_se_1470,Vara,1470,base.se
state_se_1471,Götene,1471,base.se
state_se_1472,Tibro,1472,base.se
state_se_1473,Töreboda,1473,base.se
state_se_1480,Göteborg,1480,base.se
state_se_1481,Mölndal,1481,base.se
state_se_1482,Kungälv,1482,base.se
state_se_1484,Lysekil,1484,base.se
state_se_1485,Uddevalla,1485,base.se
state_se_1486,Strömstad,1486,base.se
state_se_1487,Vänersborg,1487,base.se
state_se_1488,Trollhättan,1488,base.se
state_se_1489,Alingsås,1489,base.se
state_se_1490,Borås,1490,base.se
state_se_1491,Ulricehamn,1491,base.se
state_se_1492,Åmål,1492,base.se
state_se_1493,Mariestad,1493,base.se
state_se_1494,Lidköping,1494,base.se
state_se_1495,Skara,1495,base.se
state_se_1496,Skövde,1496,base.se
state_se_1497,Hjo,1497,base.se
state_se_1498,Tidaholm,1498,base.se
state_se_1499,Falköping,1499,base.se
state_se_1715,Kils,1715,base.se
state_se_1730,Eda,1730,base.se
state_se_1737,Torsby,1737,base.se
state_se_1760,Storfors,1760,base.se
state_se_1761,Hammarö,1761,base.se
state_se_1762,Munkfors,1762,base.se
state_se_1763,Forshaga,1763,base.se
state_se_1764,Grums,1764,base.se
state_se_1765,Årjäng,1765,base.se
state_se_1766,Sunne,1766,base.se
state_se_1780,Karlstad,1780,base.se
state_se_1781,Kristinehamn,1781,base.se
state_se_1782,Filipstads,1782,base.se
state_se_1783,Hagfors,1783,base.se
state_se_1784,Arvika,1784,base.se
state_se_1785,Säffle,1785,base.se
state_se_1814,Lekeberg,1814,base.se
state_se_1860,Laxå,1860,base.se
state_se_1861,Hallsbergs,1861,base.se
state_se_1862,Degerfors,1862,base.se
state_se_1863,Hällefors,1863,base.se
state_se_1864,Ljusnarsberg,1864,base.se
state_se_1880,Örebro,1880,base.se
state_se_1881,Kumla,1881,base.se
state_se_1882,Askersund,1882,base.se
state_se_1883,Karlskoga,1883,base.se
state_se_1884,Nora,1884,base.se
state_se_1885,Lindesberg,1885,base.se
state_se_1904,Skinnskatteberg,1904,base.se
state_se_1907,Surahammar,1907,base.se
state_se_1960,Kungsör,1960,base.se
state_se_1961,Hallstahammar,1961,base.se
state_se_1962,Norberg,1962,base.se
state_se_1980,Västerås,1980,base.se
state_se_1981,Sala,1981,base.se
state_se_1982,Fagersta,1982,base.se
state_se_1983,Köpings,1983,base.se
state_se_1984,Arboga,1984,base.se
state_se_2021,Vansbro,2021,base.se
state_se_2023,Malung-Sälen,2023,base.se
state_se_2026,Gagnefs,2026,base.se
state_se_2029,Leksand,2029,base.se
state_se_2031,Rättvik,2031,base.se
state_se_2034,Orsa,2034,base.se
state_se_2039,Älvdalen,2039,base.se
state_se_2061,Smedjebacken,2061,base.se
state_se_2062,Mora,2062,base.se
state_se_2080,Falu,2080,base.se
state_se_2081,Borlänge,2081,base.se
state_se_2082,Säters,2082,base.se
state_se_2083,Hedemora,2083,base.se
state_se_2084,Avesta,2084,base.se
state_se_2085,Ludvika,2085,base.se
state_se_2101,Ockelbo,2101,base.se
state_se_2104,Hofors,2104,base.se
state_se_2121,Ovanåker,2121,base.se
state_se_2132,Nordanstig,2132,base.se
state_se_2161,Ljusdals,2161,base.se
state_se_2180,Gävle,2180,base.se
state_se_2181,Sandviken,2181,base.se
state_se_2182,Söderhamn,2182,base.se
state_se_2183,Bollnäs,2183,base.se
state_se_2184,Hudiksvall,2184,base.se
state_se_2260,Ånge,2260,base.se
state_se_2262,Timrå,2262,base.se
state_se_2280,Härnösand,2280,base.se
state_se_2281,Sundsvall,2281,base.se
state_se_2282,Kramfors,2282,base.se
state_se_2283,Sollefteå,2283,base.se
state_se_2284,Örnsköldsvik,2284,base.se
state_se_2303,Ragunda,2303,base.se
state_se_2305,Bräcke,2305,base.se
state_se_2309,Krokom,2309,base.se
state_se_2313,Strömsund,2313,base.se
state_se_2321,Åre,2321,base.se
state_se_2326,Berg,2326,base.se
state_se_2361,Härjedalen,2361,base.se
state_se_2380,Östersund,2380,base.se
state_se_2401,Nordmaling,2401,base.se
state_se_2403,Bjurholm,2403,base.se
state_se_2404,Vindeln,2404,base.se
state_se_2409,Robertsfors,2409,base.se
state_se_2417,Norsjö,2417,base.se
state_se_2418,Malå,2418,base.se
state_se_2421,Storuman,2421,base.se
state_se_2422,Sorsele,2422,base.se
state_se_2425,Dorotea,2425,base.se
state_se_2460,Vännäs,2460,base.se
state_se_2462,Vilhelmina,2462,base.se
state_se_2463,Åsele,2463,base.se
state_se_2480,Umeå,2480,base.se
state_se_2481,Lycksele,2481,base.se
state_se_2482,Skellefteå,2482,base.se
state_se_2505,Arvidsjaur,2505,base.se
state_se_2506,Arjeplog,2506,base.se
state_se_2510,Jokkmokk,2510,base.se
state_se_2513,Överkalix,2513,base.se
state_se_2514,Kalix,2514,base.se
state_se_2518,Övertorneå,2518,base.se
state_se_2521,Pajala,2521,base.se
state_se_2523,Gällivare,2523,base.se
state_se_2560,Älvsbyn,2560,base.se
state_se_2580,Luleå,2580,base.se
state_se_2581,Piteå,2581,base.se
state_se_2582,Boden,2582,base.se
state_se_2583,Haparanda,2583,base.se
state_se_2584,Kiruna,2584,base.se
